f-link-chi-0,f-link-chi-1,f-link-chi-2,f-link-chi-3,f-link-Z-0,f-link-Z-1,f-link-Z-2,f-link-Z-3,f-link-I-0,f-link-I-1,f-link-I-2,f-link-I-3,f-link-T-0,f-link-T-1,f-link-T-2,f-link-T-3,f-link-S-0,f-link-S-1,f-link-S-2,f-link-S-3,name
154.40439999999998,306.561,486.2404000000001,592.192,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.0678,23.331000000000007,34.8104,39.91000000000001,USAHAZ
154.40439999999998,306.561,486.2404000000001,592.192,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.0678,23.331000000000007,34.8104,39.91000000000001,USAHAZ
154.4044,306.56100000000004,486.2404,592.1919999999999,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.0678,23.331000000000007,34.81040000000001,39.91000000000001,USAHAZ
154.4044,306.56100000000004,486.2404,592.1919999999999,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.0678,23.331000000000007,34.81040000000001,39.91000000000001,USAHAZ
65.71220000000001,115.413,271.27520000000004,181.63199999999998,206.0,336.0,422.0,192.0,10.0,18.0,48.0,24.0,66.0,138.0,96.0,24.0,3.0729999999999995,6.853000000000001,10.840000000000002,6.482400000000002,USAHAZ
65.71220000000001,115.413,271.27520000000004,181.63199999999998,206.0,336.0,422.0,192.0,10.0,18.0,48.0,24.0,66.0,138.0,96.0,24.0,3.0729999999999995,6.853000000000001,10.840000000000002,6.482400000000002,USAHAZ
65.71220000000001,115.41299999999998,271.2752,181.632,206.0,336.0,422.0,192.0,10.0,18.0,48.0,24.0,66.0,138.0,96.0,24.0,3.0729999999999995,6.8530000000000015,10.840000000000002,6.4824,USAHAZ
65.71220000000001,115.41299999999998,271.2752,181.632,206.0,336.0,422.0,192.0,10.0,18.0,48.0,24.0,66.0,138.0,96.0,24.0,3.0729999999999995,6.8530000000000015,10.840000000000002,6.4824,USAHAZ
154.4044,306.56100000000004,486.2404000000001,592.1919999999999,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.0678,23.331000000000007,34.81040000000001,39.910000000000004,USAHAZ
154.4044,306.56100000000004,486.2404000000001,592.1919999999999,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.0678,23.331000000000007,34.81040000000001,39.910000000000004,USAHAZ
154.40439999999998,306.56100000000004,486.2404000000001,592.192,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.067800000000002,23.33100000000001,34.81040000000001,39.910000000000004,USAHAZ
154.40439999999998,306.56100000000004,486.2404000000001,592.192,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.067800000000002,23.33100000000001,34.81040000000001,39.910000000000004,USAHAZ
154.4044,306.56100000000004,486.24040000000014,592.192,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.067800000000002,23.331000000000007,34.810400000000016,39.910000000000004,USAHAZ
154.4044,306.56100000000004,486.24040000000014,592.192,694.0,1392.0,2080.0,2164.0,22.0,46.0,72.0,92.0,118.0,294.0,424.0,460.0,10.067800000000002,23.331000000000007,34.810400000000016,39.910000000000004,USAHAZ
